step,customer_count,satisfaction_rating
0,19,4
1,28,4.0
2,28,4.0
3,33,3.027027027027027
4,37,2.8444444444444446
5,33,2.9074074074074074
6,32,2.76271186440678
7,31,2.8358208955223883
8,35,2.9078947368421053
9,35,2.9047619047619047
10,29,2.978021978021978
11,32,3.0
12,32,3.0654205607476634
13,32,3.008695652173913
14,34,3.0161290322580645
15,35,3.0223880597014925
16,36,3.084507042253521
17,34,3.0939597315436242
18,31,3.07741935483871
19,33,3.0552147239263805
20,31,3.0930232558139537
21,32,3.044198895027624
22,34,3.036842105263158
23,36,3.075
24,31,3.0721153846153846
25,33,2.9813084112149535
26,36,3.0
27,33,3.004291845493562
28,34,3.00418410041841
29,35,3.004032258064516
30,37,3.0
31,31,3.0190114068441063
32,31,3.0261194029850746
33,33,3.0323741007194243
34,35,3.0659722222222223
35,35,3.0707070707070705
36,34,3.0723684210526314
37,32,3.0739549839228295
38,34,3.0689655172413794
39,33,3.048632218844985
40,33,3.0474777448071215
41,35,3.0722543352601157
42,34,3.067605633802817
43,35,3.0552486187845305
44,34,3.045945945945946
45,33,3.050397877984085
46,35,3.07012987012987
47,32,3.0609137055837565
48,31,3.0773067331670823
49,36,3.0778588807785887
50,33,3.0688836104513064
51,32,3.0562060889929743
52,28,3.032110091743119
53,30,3.0269058295964126
54,33,3.030701754385965
55,33,3.0300429184549356
56,33,3.0168421052631578
57,35,3.0165289256198347
58,36,3.0101419878296145
59,37,2.998
60,36,3.0019762845849804
61,31,3.0078277886497067
62,31,2.9845261121856868
63,31,2.9923809523809526
64,27,2.9887429643527206
65,30,2.988909426987061
66,31,2.9927140255009106
67,25,2.9946043165467624
68,27,2.991119005328597
69,31,3.0
70,30,3.003466204506066
71,31,2.9965811965811966
72,29,2.9966216216216215
73,29,2.994991652754591
74,25,3.0082508250825084
75,25,3.00815660685155
76,24,2.9951612903225806
77,27,2.9904306220095696
78,25,3.0
79,23,2.9905956112852663
80,26,2.9953416149068324
81,25,3.0
